signature,language,script,files,condition
lessonChooserLabel,english,Choose a lesson to play.,,
lessonChooserLabel,spanish,Elige una lecciÃ³n para jugar.,,
playLessonButtonLabel,english,Play <lessonName>.,,
playLessonButtonLabel,spanish,Jugar <lessonName>.,,
weeklyPanelLabel,english,Weekly Goal.,,
weeklyPanelLabel,spanish,Objetivo Semanal.,,
weeklyPanelOpenedLabelNoSession,english,"<greetingsWeeklyGoalText>, <startAStreakText>, you can do it!",,
weeklyPanelOpenedLabelNoSession,spanish,"Â¡<greetingsWeeklyGoalText>, <startAStreakText>, puedes hacerlo!",,
weeklyPanelOpenedLabelWithSession,english,"<weeklyGoalText>, <completeLessonText>, <streakText>, <weeklyLessonsCompleted>, <goalReachedText>, <weeklyTimeText>, <thisSessionText>, <sessionCompletedLessonsText>, <sessionTimeText>",,
weeklyPanelOpenedLabelWithSession,spanish,"<weeklyGoalText>, <completeLessonText>, <streakText>, <weeklyLessonsCompleted>, <goalReachedText>, <weeklyTimeText>, <thisSessionText>, <sessionCompletedLessonsText>, <sessionTimeText>",,
initialPlayButtonLabel,english,Press to play video,,
initialPlayButtonLabel,spanish,Presione para reproducir el video,,
rewindButtonLabel,english,Restart video,,
rewindButtonLabel,spanish,Reinicia el video,,
playButtonLabel,english,Play,,
playButtonLabel,spanish,Jugar,,
pauseButtonLabel,english,Pause,,
pauseButtonLabel,spanish,Pausa,,
exitMovieButtonLabel,english,Exit movie,,
exitMovieButtonLabel,spanish,Salir de la pelÃ­cula,,
replayButtonLabel,english,Replay video,,
replayButtonLabel,spanish,Reproducir el video,,
leavebutton,english,Leave video,,
leavebutton,spanish,Dejar el video,,
replayIconLabel,english,Replay text,,
replayIconLabel,spanish,Reproducir de nuevo el texto,,
exitButtonLabel,english,Close,,
exitButtonLabel,spanish,Cerrar,,
lessonFeedbackQuestionLabel,english,<question>,,
lessonFeedbackQuestionLabel,spanish,<question>,,
lessonFeedbackQuestionAnswersLabel,english,<answer>,,
lessonFeedbackQuestionAnswersLabel,spanish,<answer>,,
lessonFeedbackSubmitBtnLabel,english,Submit,,
lessonFeedbackSubmitBtnLabel,spanish,Enviar,,
nanoGamesNotAvailableAlert,english,Screen reader support for this feature is not available at this time. Please press the close button.,,
nanoGamesNotAvailableAlert,spanish,El soporte en el lector de pantalla para esta caracterÃ­stica aÃºn no esta soportada. Por favor presione en el botÃ³n de cerrar.,,
close,english,Close,,
close,spanish,Cerrar,,
quitButtonLabel,english,Quit,,
quitButtonLabel,spanish,Quitar,,
nanoGameNotAvailableLabel,english,Nanogame is not available at this time. Please select a different lesson,,
nanoGameNotAvailableLabel,spanish,El nanojuego no esta disponible en el momento. Por favor selecciona una lecciÃ³n distinta,,
achievementsLabel,english,Achievements. Teacher assistance may be needed.,,
achievementsLabel,spanish,Logros. Es posible que se necesite la ayuda del profesor.,,
visualBiasWarning,english,The lesson has a visual bias content. Teacher assistance may be needed.,,
visualBiasWarning,spanish,Esta lecciÃ³n tiene contenido con sesgo visual. Es posible que se necesite la ayuda del profesor.,,
blank,english,blank,,
blank,spanish,En blanco,,
Blank,english,Blank,,
