signature,language,script,files,condition
hintButton,english,Hint,,
hintButton,spanish,Pista,,
doneButton,english,Done,,
doneButton,spanish,Hecho,,
resetButton,english,Reset,,
resetButton,spanish,Reiniciar,,
undoButton,english,Undo,,
undoButton,spanish,Deshacer,,
deleteButton,english,Delete,,
deleteButton,spanish,Borrar,,
buttonSpeaker,english,Repeat instructions.,,
buttonSpeaker,spanish,Repetir Instrucciones.,,
buttonForward,english,Next,,
buttonForward,spanish,Siguiente,,
nextButton,english,Next,,
nextButton,spanish,Siguiente,,
textTool,english,Instructions: <text>,,
textTool,spanish,Instrucciones: <text>,,
academicPopupTextTool,english,Tip: <text>,,
academicPopupTextTool,spanish,Consejo: <text>,,
academicPopupContinue,english,Continue,,
academicPopupContinue,spanish,Continuar,,
academicPopupMain,english,Academic Popup,,
academicPopupMain,spanish,Ventana emergente acadÃ©mica,,
academicPopupClose,english,Tool tip hidden <text>,,
academicPopupClose,spanish,Se oculto la ventana emergente <text>,,
academicPopupOpen,english,Tool tip shown <text>,,
academicPopupOpen,spanish,Se mostrÃ³ la ventana emergente <text>,,
buttonBankMultipleSelectGroupNone,english,Multiple select button group. No elements are currently selected.,,
buttonBankMultipleSelectGroupNone,spanish,Grupo de botones de selecciÃ³n multiple. Actualmente no hay elementos seleccionados.,,
buttonBankMultipleChoiceGroupNone,english,Multiple choice button group. No elements are currently selected.,,
buttonBankMultipleChoiceGroupNone,spanish,Grupo de botones de elecciÃ³n multiple. Actualmente no hay elementos seleccionados.,,
buttonBankMultipleSelectGroupSingle,english,Multiple select button group. The currently selected element is <button>.,,
buttonBankMultipleSelectGroupSingle,spanish,Grupo de botones de selecciÃ³n multiple. El elemento seleccionado actualmente es <button>.,,
buttonBankMultipleChoiceGroupSingle,english,Multiple choice button group. The currently selected element is <button>.,,
buttonBankMultipleChoiceGroupSingle,spanish,Grupo de botones de elecciÃ³n multiple. El elemento seleccionado actualmente es <button>.,,
buttonBankMultipleSelectGroupMultiple,english,Multiple select button group. The currently selected elements are <buttons>.,,
buttonBankMultipleSelectGroupMultiple,spanish,Grupo de botones de selecciÃ³n multiple. Los elementos actualmente seleccionados son <buttons>.,,
buttonBankMultipleChoiceButton,english,<name>. Choice <index> of <total>. Press to <select>.,,
buttonBankMultipleChoiceButton,spanish,<name>. ElecciÃ³n <index> de <total>. Presiona para <select>.,,
buttonBankMultipleChoiceDeselectAlert,english,<name> deselected.,,
buttonBankMultipleChoiceDeselectAlert,spanish,<name> deseleccionado.,,
buttonBankMultipleChoiceSelectAlert,english,<name> selected.,,
buttonBankMultipleChoiceSelectAlert,spanish,<name> seleccionado.,,
numbergramGridBuildableSingular,english,A numbergram showing 1 counter.,,
numbergramGridBuildableSingular,spanish,Un numerograma mostrando 1 contador.,,
numbergramGridBuildablePlural,english,A numbergram showing <countersCount> counters.,,
numbergramGridBuildablePlural,spanish,Un numerograma mostrando <countersCount> contadores.,,
tenframeSingular,english,A tenframe showing 1 counter.,,
tenframeSingular,spanish,Una grilla de 10 mostrando 1 contador.,,
tenframePlural,english,A tenframe showing <countersCount> counters.,,
tenframePlural,spanish,Una grilla de 10 mostrando <countersCount> contadores.,,
blank,english,blank,,
blank,spanish,en blanco,,
focused,english,focused,,
focused,spanish,enfocado,,
not focused,english,not focused,,
not focused,spanish,no enfocado,,
equationMultiple,english,Equations.,,
equationMultiple,spanish,Ecuaciones.,,
equationBuildable,english,<displayExpression>.,,
equationBuildable,spanish,<displayExpression>.,,
equationBuildableMultiple,english,Equation <index>: <displayExpression>,,
equationBuildableMultiple,spanish,EcuaciÃ³n <index>: <displayExpression>,,
multiply by,english,multiply by,,
multiply by,spanish,multiplicar por,,
divide by,english,divide by,,
divide by,spanish,dividir por,,
add,english,add,,
add,spanish,agregar,,
subtract,english,subtract,,
subtract,spanish,restar,,
expressionTrayTile,english,<label>,,
expressionTrayTile,spanish,<label>,,
expressionTileLifted,english,Tile <value> lifted.,,
expressionTileLifted,spanish,Ficha <value> levantada.,,
linePlot,english,Line Plot Graph showing <yAxis> by <xAxis>. Currently shows values <minValue> to <maxValue>.,,
linePlot,spanish,GrÃ¡fica lÃ­neas mostrando <yAxis> por <xAxis>. Actualmente mostrando valores del <minValue> al <maxValue>.,,
linePlotMarkUnselected,english,Line plot mark on value <value>. Unselected.,,
linePlotMarkUnselected,spanish,Marca en la grÃ¡fica lÃ­neas con el valor <value>. No seleccionado.,,
linePlotMarkSelected,english,Line plot mark on value <value>. Selected.,,
linePlotMarkSelected,spanish,Marca en la grÃ¡fica lÃ­neas con el valor <value>. Seleccionado.,,
linePlotMarkDisplayOnly,english,Line plot category <value>. <markCount> marks.,,
linePlotMarkDisplayOnly,spanish,CategorÃ­a <value> en la grÃ¡fica lÃ­neas. <markCount> marcas.,,
shapeLabel,english,<value> input <position> of <total>.,,
shapeLabel,spanish,<value> de entrada <position> de <total>.,,
inputShapeLabel,english,<value> input <position> of <total>.,,
inputShapeLabel,spanish,<value> de entrada <position> de <total>.,,
editableShapeLabel,english,<value> input <position> of <total>.,,
