unique_key,english,spanish
academic-domains-1,Measurement,Medida
academic-domains-2,Geometry,Geometría
academic-domains-3,Ratios & Proportions,Cocientes y proporciones
academic-domains-4,Comparisons & Ordering,Comparaciones y ordenamiento
academic-domains-5,Place Value,Valor de posición
academic-domains-6,Functions,Funciones
academic-domains-7,Expressions & Equations,Expresiones y ecuaciones
academic-domains-8,Fractions & Decimals,Fracciones y decimales
academic-domains-9,Multiplication & Division,Multiplicación y división
academic-domains-10,Addition & Subtraction,Suma y resta
academic-domains-11,Counting,Conteo
